Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Cattle,Bullock,Kankrej,1.7,Young,Male,Anthrax,36,True,2,2.0,15,"['Sudden death', 'Weakness and staggering', 'Fever', 'Bleeding from orifices', 'Rapid bloating']",False,Farmer,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,Sudden death,Bleeding from orifices,Rapid bloating,Fever,Weakness and staggering,
Goat,Common,Osmanabadi,3.9,Adult,Female,Brucellosis,19,False,1,3.0,9,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Veterinarian,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Goat,Common,Marwari,6.3,Adult,Male,Mastitis,17,False,1,7.0,14,"['Systemic illness', 'Fever', 'Painful udder', 'Swollen udder', 'Hot udder', 'Abnormal milk']",True,Veterinarian,"Bacterial infection (Staph, Strep)",Maintain strict milking hygiene and disinfect equipment regularly.,Milk the affected udder gently and provide pain relief.,Apply warm compresses on the udder and turmeric paste for inflammation.,"Use intramammary antibiotics, NSAIDs, and maintain udder hygiene.",,,,,,
Cattle,Bull,Khillar,6.6,Adult,Male,Enterotoxemia,13,False,1,8.0,14,"['Incoordination', 'Convulsions', 'Sudden death', 'Opisthotonos', 'Prostration', 'Abdominal pain']",True,Para-vet,Clostridium perfringens toxin,Ensure regular vaccination against clostridial diseases.,Provide supportive therapy and maintain a calm environment.,Implement controlled feeding practices.,"Administer clostridial antitoxin, broad-spectrum antibiotics, and IV fluids.",,,,,,
Cattle,Calf,Vechur Calf,0.5,Calf,Male,Hemorrhagic Septicemia,39,False,1,6.0,10,"['High fever', 'Respiratory distress', 'Recumbency', 'Swelling of throat/jaw']",True,Veterinarian,Pasteurella multocida,Vaccinate regularly before monsoon and avoid overcrowding.,Provide fluids and ensure proper nursing care.,Keep animals in a warm and dry shelter.,"Administer appropriate antibiotics, NSAIDs, and vaccinate against HS.",,,,,,
Goat,Common,Barbari,5.2,Adult,Female,Acidosis,9,False,1,9.0,7,"['Dehydration', 'Inability to stand', 'Signs of shock', 'Cold extremities', 'Depression', 'Diarrhea']",True,Para-vet,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",,,,,,
Cattle,Bull,Mewati,1.0,Young,Male,Coccidiosis,25,True,2,3.0,11,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",True,Para-vet,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,Bloody diarrhea,Dehydration,Inability to stand,,,
Cattle,Bull,Kangayam,2.5,Young,Male,BVD,1,True,2,6.0,6,"['Reduced milk', 'Resp distress', 'Fever', 'Abortion', 'Ulcers in mouth', 'Diarrhea']",False,Para-vet,BVD virus,Implement strict biosecurity measures and regularly vaccinate cattle against BVD.,Ensure isolation of infected animals and maintain proper hygiene in the cattle shed.,Provide electrolyte-enriched water to prevent dehydration.,"Provide supportive fluids to prevent dehydration, administer NSAIDs to reduce fever and inflammation, and follow a proper vaccination program to prevent recurrence.",Abortion,Diarrhea,Ulcers in mouth,Diarrhea,,
Goat,Common,Jakhrana,7.8,Adult,Male,Polioencephalomalacia,31,True,2,2.0,9,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",True,Veterinarian,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,Seizures,Muscle Tremors,Recumbency,Blindness,,
Goat,Common,Marwari,5.0,Adult,Male,Caseous Lymphadenitis,35,False,1,7.0,5,"['Weight loss', 'Poor Performance', 'Abscesses in lymph nodes']",False,Farmer,Corynebacterium pseudotuberculosis,Maintain strict biosecurity and disinfect equipment.,Provide clean housing and monitor for new abscesses.,Apply turmeric or neem paste on abscesses.,"Drain abscesses, administer antibiotics, and vaccinate the herd.",,,,,,
Goat,Common,Sirohi,6.3,Adult,Male,CCPP,14,False,1,1.0,13,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",False,Para-vet,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Cattle,Calf,Vechur Calf,5.2,Adult,Female,Theileriosis,6,False,1,14.0,6,"['Lethargy', 'Weakness', 'Jaundice', 'Respiratory distress', 'Nervous signs', 'Frothy fluid from nose and mouth']",True,Farmer,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Goat,Common,Sirohi,4.9,Adult,Male,Ketosis,28,False,1,4.0,10,"['Weight loss', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Para-vet,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Cattle,Calf,Red Sindhi Calf,0.2,Calf,Female,IBR,0,True,2,4.0,5,"['Conjunctivitis', 'Reduced appetite', 'Fever', 'Abortions', 'Oral ulcers', 'Abortion', 'Red nose', 'Difficulty breathing']",True,Farmer,BHV‑1,Avoid contact with infected animals and ensure regular vaccination against IBR.,"Keep the animal in a clean, stress-free environment with proper nutrition and hydration.",Steam inhalation to ease nasal congestion.,"Treat the animal with IBR vaccination, broad-spectrum antibiotics to prevent secondary infections, and non-steroidal anti-inflammatory drugs (NSAIDs) to control fever and pain.",Difficulty breathing,Red nose,Abortion,,,
Cattle,Bull,Amritmahal,0.8,Calf,Male,Rabies,3,True,2,5.0,10,"['Seizures', 'Difficulty swallowing', 'Inability to stand', 'Salivation', 'Coma', 'Paralysis', 'Behavioral change']",True,Veterinarian,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,Paralysis,Inability to stand,Difficulty swallowing,Salivation,Seizures,Coma
Goat,Common,Marwari,6.2,Adult,Female,Tetanus,33,False,1,3.0,6,"['Inability to Eat or Drink', 'Convulsions', 'Inability to Stand', 'Muscle spasms', 'Difficulty Breathing', 'Stiffness']",False,Veterinarian,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",,,,,,
Goat,Common,Osmanabadi,2.5,Adult,Female,Salmonellosis,38,False,1,12.0,7,"['Reduced milk', 'Weight loss', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",False,Farmer,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",,,,,,
Goat,Common,Marwari,6.8,Adult,Female,Rabies,3,False,1,1.0,11,"['Seizures', 'Inability to stand', 'Salivation', 'Coma', 'Paralysis', 'Behavioral change']",False,Farmer,Rabies virus,Vaccinate all animals regularly and avoid contact with stray or wild animals.,Immediately isolate any animal showing neurological symptoms and consult a veterinarian for herd-level precautions.,No home remedies; rabies is fatal.,There is no treatment for rabies; euthanasia of the affected animal is recommended and herd vaccination must be conducted.,,,,,,
Goat,Common,Jakhrana,2.7,Adult,Female,Fascioliasis,24,False,1,5.0,13,"['Sudden Death', 'Inability to stand', 'Anemia', 'Extreme Paleness', 'Profound Weakness', 'Bottle jaw']",True,Farmer,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Cattle,Calf,Kankrej Calf,5.7,Adult,Male,Tuberculosis,4,True,3,180.0,15,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Veterinarian,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,Chronic cough,Difficulty breathing,Weight loss,Enlarged lymph nodes,,
Goat,Common,Sirohi,7.8,Adult,Male,CCPP,14,False,1,8.0,12,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",True,Para-vet,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Cattle,Bull,Haryana,0.9,Calf,Male,Polioencephalomalacia,31,False,1,11.0,7,"['Seizures', 'Recumbency', 'Head pressing', 'Circling', 'Muscle Tremors', 'Blindness']",False,Para-vet,Thiamine deficiency or sulfur toxicity,Avoid feeding high-sulfur diets and ensure balanced vitamin intake.,"Keep the animal in a calm, low-stress environment.",Provide molasses mixed with yeast water.,Administer injectable thiamine (Vitamin B1) and anticonvulsants.,,,,,,
Goat,Common,Nubian,1.1,Young,Male,Salmonellosis,38,False,1,8.0,14,"['Weight loss', 'Reduced milk', 'Neurological signs', 'Inability to stand', 'Fever', 'Diarrhea']",True,Farmer,Salmonella spp.,Maintain strict hygiene in feed and water sources to prevent outbreaks.,Provide energy-rich feed and manage dehydration.,Provide oral rehydration solutions and maintain hygienic feeding practices.,"Administer broad-spectrum antibiotics, fluids, and electrolyte therapy.",,,,,,
Cattle,Bull,Nimari,7.2,Adult,Male,Bloat,8,True,2,0.125,9,"['Decreased appetite', 'Weakness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",True,Farmer,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,Left‑side abdominal swelling,Difficulty breathing,Staggering,Weakness,Sudden collapse and Death,
Goat,Common,Malabari,7.9,Adult,Female,CCPP,14,True,2,7.0,12,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",False,Veterinarian,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",Labored breathing,Prostration,Fever,Anorexia,,
Goat,Common,Nubian,2.4,Adult,Female,Copper Deficiency,30,False,1,1.0,8,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",True,Para-vet,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,,,,,,
Goat,Common,Jakhrana,6.4,Adult,Male,CCPP,14,False,1,9.0,5,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",False,Farmer,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Goat,Common,Rajasthani cross,2.8,Adult,Male,Coccidiosis,25,False,1,14.0,7,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",True,Farmer,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,,,,,,
Cattle,Bullock,Krishna Valley,4.2,Adult,Male,Helminthiasis,23,True,2,7.0,6,"['Inability to stand', 'Bottle Jaw', 'Anemia', 'Weakness and Collapse', 'Extreme Paleness', 'Poor growth']",False,Farmer,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,Anemia,Extreme Paleness,Bottle Jaw,Weakness and Collapse,Inability to stand,
Cattle,Bull,Khillar,4.4,Adult,Male,Tuberculosis,4,False,1,14.0,10,"['Weight loss', 'Poor milk yield', 'Intermittent fever', 'Difficulty breathing', 'Chronic cough', 'Enlarged lymph nodes']",True,Para-vet,Mycobacterium bovis,Regularly test cattle for tuberculosis and cull infected animals to prevent herd infection.,Ensure proper ventilation and hygiene in cattle housing to minimize disease spread.,Provide high-nutrition feed to maintain body condition.,Test and cull infected animals as there is no effective treatment; implement strict herd surveillance.,,,,,,
Cattle,Bull,Gir,4.0,Adult,Male,Leptospirosis,22,True,2,3.0,13,"['Reduced milk', 'Inability to stand', 'Jaundice', 'Fever', 'Abortions', 'Depression', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Veterinarian,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,Hemoglobinuria (Red Water),Jaundice,Inability to stand,Fever,Depression,
Cattle,Bullock,Ongole,5.4,Adult,Male,Copper Deficiency,30,False,1,2.0,10,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",True,Para-vet,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,,,,,,
Cattle,Buffalo,Banni,1.6,Young,Female,Anorexia,10,True,3,21.0,29,"['Weight loss', 'High fever', 'Reduced feed intake', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe diarrhea', 'Severe bloating', 'Intense pain']",True,Para-vet,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Goat,Common,Barbari,1.7,Young,Female,Caseous Lymphadenitis,35,False,1,10.0,9,"['Weight loss', 'Poor Performance', 'Abscesses in lymph nodes']",False,Para-vet,Corynebacterium pseudotuberculosis,Maintain strict biosecurity and disinfect equipment.,Provide clean housing and monitor for new abscesses.,Apply turmeric or neem paste on abscesses.,"Drain abscesses, administer antibiotics, and vaccinate the herd.",,,,,,
Cattle,Calf,Ayrshire Cross Calf,4.0,Adult,Female,Leptospirosis,22,False,1,4.0,7,"['Reduced milk', 'Jaundice', 'Fever', 'Abortions', 'Hemoglobinuria (Red Water)', 'DepressionInability to stand']",True,Farmer,Leptospira spp.,Control rodents and maintain clean water sources.,Ensure rest and provide energy-rich feed to support recovery.,Provide clean drinking water and ensure rodent control.,Administer streptomycin or tetracycline and vaccinate for herd protection.,,,,,,
Cattle,Bullock,Rathi,7.0,Adult,Male,Helminthiasis,23,False,1,14.0,13,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Anemia', 'Extreme Paleness', 'Poor growth']",False,Para-vet,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,,,,,,
Cattle,Cow,Jersey Cross,4.3,Adult,Female,Metritis,18,False,1,13.0,13,"['Lethargy', 'Fever', 'Anorexia', 'Depression', 'Foul vaginal discharge', 'Unable to stand']",True,Farmer,Uterine infection post-calving/kidding,Maintain hygiene during parturition and avoid unhygienic birthing practices.,Provide energy-rich feed and hydration during recovery.,Wash the vulva with warm saline solution.,Administer uterine antibiotics and oxytocin injections to aid uterine clearance.,,,,,,
Goat,Common,Barbari,0.9,Young,Female,Anthrax,36,True,2,2.0,12,"['Sudden death', 'Fever', 'Weakness and staggering', 'Bleeding from orifices', 'Rapid bloating']",False,Para-vet,Bacillus anthracis,Regularly vaccinate livestock in endemic regions and report cases immediately.,Isolate affected areas and implement strict biosecurity.,Avoid handling carcasses and contaminated material.,No treatment; vaccinate and dispose of carcasses safely.,Sudden death,Bleeding from orifices,Rapid bloating,Fever,Weakness and staggering,
Goat,Common,Sirohi,3.4,Adult,Male,CCPP,14,False,1,10.0,11,"['Severe cough', 'Fever', 'Anorexia', 'Labored breathing', 'Prostration']",True,Veterinarian,Mycoplasma capricolum subsp. capripneumoniae,Implement strict biosecurity and avoid mixing with unknown herds.,Provide warm shelter and soft food during treatment.,Use steam inhalation with medicinal herbs.,"Administer macrolide antibiotics like Tylosin, provide NSAIDs, and isolate the infected animal.",,,,,,
Cattle,Bullock,Mewati,1.1,Young,Male,MCF,2,False,1,1.0,8,"['High fever', 'Seizures', 'Neurological signs', 'Nasal discharge', 'Diarrhea', 'Corneal opacity']",True,Farmer,MCF virus,"Avoid mixing cattle with sheep, especially during lambing season, as sheep are carriers of the virus.",Provide comfortable housing and proper nutrition to boost immunity during recovery.,No specific home remedy; supportive care is essential.,"Provide supportive care, including fluid therapy and anti-inflammatory drugs, as there is no specific treatment for MCF.",,,,,,
Cattle,Calf,Kankrej Calf,5.7,Adult,Female,Anorexia,10,True,3,21.0,21,"['Weight loss', 'Weakness', 'Reduced feed intake', 'Neurological signs', 'High feverSevere diarrhea', 'Refusal to eat', 'Severe diarrhea', 'Severe bloating', 'Intense pain']",True,Para-vet,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,Refusal to eat,High feverSevere diarrhea,Severe bloating,Neurological signs,Intense pain,Weight loss
Cattle,Buffalo,Chilika,0.9,Calf,Female,Anorexia,10,False,1,9.0,5,"['Weight loss', 'High fever', 'Weakness', 'Reduced feed intake', 'Refusal to eat', 'Severe diarrhea']",True,Veterinarian,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,,,,,,
Goat,Common,Barbari,7.4,Adult,Male,Copper Deficiency,30,False,1,1.0,6,"['Neurological Signs', 'Poor coat quality', 'Anemia', 'Reproductive issues']",False,Veterinarian,Insufficient dietary copper or excess molybdenum,Balance mineral supplementation and avoid overuse of molybdenum-containing feeds.,Monitor hair coat quality and reproductive health post-treatment.,Offer mineral blocks containing copper.,Provide copper sulfate supplements as per veterinary dosage.,,,,,,
Cattle,Calf,Karan Fries Calf,6.7,Adult,Male,Bloat,8,False,1,6.0,11,"['Decreased appetite', 'Weakness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",False,Veterinarian,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Cattle,Bull,Kangayam,1.7,Young,Male,Fascioliasis,24,False,1,4.0,14,"['Weight loss', 'Sudden Death', 'Inability to stand', 'Jaundice', 'Anemia', 'Bottle jaw']",True,Veterinarian,Fasciola hepatica (liver fluke),Control access to snail-infested pastures and treat water sources.,Provide iron-rich feed and proper hydration.,Avoid grazing in marshy or waterlogged areas.,Administer triclabendazole or closantel for deworming.,,,,,,
Cattle,Calf,Kankrej Calf,7.2,Adult,Female,Helminthiasis,23,False,1,11.0,12,"['Weight loss', 'Inability to stand', 'Bottle Jaw', 'Anemia', 'Extreme Paleness', 'Poor growth']",False,Veterinarian,Gastrointestinal worm infestation,Deworm animals regularly and avoid overgrazing pastures.,Provide nutritious feed to restore body condition.,Give neem leaf decoctions and implement rotational grazing.,Administer dewormers like albendazole or ivermectin according to veterinary dosage.,,,,,,
Goat,Common,Rajasthani cross,6.2,Adult,Male,Bloat,8,True,2,0.125,10,"['Decreased appetite', 'Weakness', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Staggering', 'Sudden collapse and Death']",True,Para-vet,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,Left‑side abdominal swelling,Difficulty breathing,Staggering,Weakness,Sudden collapse and Death,
Cattle,Calf,Tharparkar Calf,1.6,Young,Female,Blackleg,5,False,1,12.0,14,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",True,Para-vet,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,,,,,,
Goat,Common,Osmanabadi,2.8,Adult,Male,Brucellosis,19,False,1,1.0,13,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",False,Veterinarian,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Cattle,Calf,Deoni Calf,3.8,Adult,Male,Theileriosis,6,True,2,3.0,15,"['Lethargy', 'Anaemia', 'Inability to stand', 'Jaundice', 'Anemia', 'Respiratory distress', 'Nervous signs', 'Frothy fluid from nose and mouth']",False,Farmer,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,Anemia,Lethargy,Inability to stand,Frothy fluid from nose and mouth,Respiratory distress,Nervous signs
Cattle,Buffalo,Nili-Ravi,1.2,Young,Female,Tetanus,33,True,2,2.0,8,"['Inability to Eat or Drink', 'Convulsions', 'Inability to Stand', 'Muscle spasms', 'Difficulty Breathing', 'Stiffness']",True,Veterinarian,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",Inability to Stand,Convulsions,Inability to Eat or Drink,Difficulty Breathing,,
Goat,Common,Jamunapari,5.9,Adult,Male,Johne's Disease,34,False,1,6.0,7,"['Chronic diarrhea', 'Weight loss', 'Bottle Jaw', 'Poor milk production']",False,Veterinarian,Mycobacterium avium subspecies paratuberculosis,Implement test-and-cull programs and prevent fecal contamination of feed.,Provide high-quality nutrition and stress-free care.,Provide supportive feeding and improve overall hygiene.,No cure is available; cull infected animals and manage herd hygiene.,,,,,,
Goat,Common,Osmanabadi,3.8,Adult,Female,Theileriosis,6,False,1,4.0,10,"['Weight loss', 'High fever', 'Weakness', 'Jaundice', 'Nervous signs', 'Lymph node enlargement']",True,Farmer,Theileria spp.,Implement strict tick control measures in animals.,Provide proper nutrition and stress-free management during recovery.,Use turmeric and iron decoction to boost immunity.,Administer buparvaquone intramuscularly and provide supportive fluid therapy.,,,,,,
Cattle,Buffalo,Pandharpuri,1.4,Young,Female,Enterotoxemia,13,True,2,0.5,9,"['Incoordination', 'Convulsions', 'Sudden death', 'Diarrhea', 'Opisthotonos', 'Prostration', 'Abdominal pain']",True,Farmer,Clostridium perfringens toxin,Ensure regular vaccination against clostridial diseases.,Provide supportive therapy and maintain a calm environment.,Implement controlled feeding practices.,"Administer clostridial antitoxin, broad-spectrum antibiotics, and IV fluids.",Convulsions,Incoordination,Opisthotonos,Prostration,Diarrhea,
Goat,Common,Malabari,6.5,Adult,Female,Milk Fever,29,False,1,6.0,5,"['Weakness', 'Complete Collapse', 'Recumbency', 'Muscle tremors', 'Inability to Stand', 'Loss of Consciousness']",False,Farmer,Calcium deficiency (Hypocalcemia),Monitor high-yielding animals during calving and provide calcium-rich diets.,Provide soft bedding and help the animal stand to prevent muscle injury.,Provide oral calcium supplements during early lactation.,Administer IV calcium borogluconate under veterinary guidance.,,,,,,
Cattle,Buffalo,Jaffarabadi,4.0,Adult,Female,Coccidiosis,25,False,1,6.0,10,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",True,Farmer,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,,,,,,
Cattle,Cow,Gir,0.6,Calf,Female,Tetanus,33,False,1,4.0,6,"['Inability to Eat or Drink', 'Convulsions', 'Lockjaw', 'Muscle spasms', 'Inability to Stand', 'Difficulty Breathing']",True,Farmer,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",,,,,,
Goat,Common,Sirohi,0.3,Kid,Male,Bloat,8,False,1,10.0,6,"['Decreased appetite', 'Weakness', 'Restlessness', 'Left‑side abdominal swelling', 'Difficulty breathing', 'Sudden collapse and Death']",False,Farmer,"Excess lush pasture, high grain intake, rumen gas buildup",Avoid sudden introduction to lush pasture and regulate grain feeding.,Keep the animal calm and provide supportive care until gas release occurs.,Provide vegetable oil drench and allow neem stick chewing.,Administer antifoaming agents and perform trocarization or rumenotomy if necessary.,,,,,,
Cattle,Bull,Deoni,7.6,Adult,Male,Ketosis,28,True,2,2.0,14,"['Weight loss', 'Weakness', 'Loss of appetite', 'Acetone breath', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Para-vet,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,Anorexia,Inability to Stand,Neurological Signs,,,
